id,title,category,historical_price_formatted,price_tunisianet_formatted,price_mytech_formatted,predicted_optimal_price_formatted,recommended_price_formatted,price_increase_pct
75,ECOUTEUR Sans Fil JBL Tour Pro 3 BEIGE,electronics,159 047 DT,1 049 001 DT,1 049 009 DT,1 045 530 DT,1 045 530 DT,557.3717616410094
76,"Tablette Logicom La Tab 74 / 7"" / Wifi / 3G / 2 Go / 16 Go / Blanc",electronics,77 527 DT,159 004 DT,159 003 DT,730 220 DT,730 220 DT,841.8873243651398
77,Disque backup HDD plus hub-16T  3.0,electronics,98 035 DT,1 259 005 DT,1 259 007 DT,1 206 720 DT,1 206 720 DT,1130.9029345027072
78,Console de jeu Sony PlayStation 5 Slim Digital,electronics,1 544 052 DT,2 390 007 DT,2 390 003 DT,2 654 110 DT,2 654 110 DT,71.89257257913253
79,Sony PlayStation VR2 Pack Horizon Call of the Mountain,electronics,2 556 139 DT,2 939 007 DT,2 939 006 DT,2 938 960 DT,2 938 960 DT,14.976531616905056
80,Casque de réalité virtuelle et mixte Meta Quest 3S 256 Go Blanc,electronics,2 642 467 DT,2 999 008 DT,2 999 008 DT,2 951 760 DT,2 951 760 DT,11.704691450586887
81,Console Nintendo NINTENDO Switch OLED Avec station d'accueil et manettes Joy-Con / Blanc,electronics,1 546 934 DT,1 599 005 DT,1 599 002 DT,1 565 350 DT,1 565 350 DT,1.1904773448332355
82,Playstation Portal PS5 Remote Player Sony,electronics,7 538 DT,1 339 004 DT,1 339 009 DT,1 267 280 DT,1 267 280 DT,16711.953350835836
83,Pc de bureau Gamer ELITE / Ryzen 9 7950X / RTX 5090 32 G / 64 Go DDR5 / Windows 11,electronics,504 529 DT,1 339 004 DT,1 339 009 DT,1 093 740 DT,1 093 740 DT,116.78456055658297
84,Pc Portable Lenovo ThinkPad L16 Gen 1 / Ultra 7 155U / 8 Go DDR5 / 512 Go SSD / Windows 11 Pro / Noir,electronics,401 681 DT,4 219 005 DT,4 219 005 DT,3 766 090 DT,3 766 090 DT,837.5834307324636
85,HP All-in-One 24-cr0000nk PC (845P4EA) | HP Tunisie | Tunisianet,electronics,2 770 210 DT,3 859 009 DT,3 859 007 DT,3 818 900 DT,3 818 900 DT,37.85595590757985
86,"Setup Gamer Special Pc de Bureau Gaming / Ryzen 3 3200G / Vega 8 / 16 Go Avec Écran Gaming REDRAGON 21.5"" Full HD VA / 100 Hz",electronics,51 679 DT,915 005 DT,915 000 DT,968 610 DT,968 610 DT,1774.2863379172181
87,"Setup Gamer Special Pc de Bureau Gaming / i5-12400F / RTX 4060 8G / 16 Go Avec Écran MSI 24"" Full HD IPS 180 Hz",electronics,959 547 DT,2 759 001 DT,2 759 007 DT,2 776 750 DT,2 776 750 DT,189.38121079245443
88,Studio Monitor 4 Hi-Fi Energy Sistem Avec Télécommande / Noir,electronics,680 568 DT,1 169 007 DT,1 169 008 DT,1 287 330 DT,1 287 330 DT,89.15515165781302
89,Kit de Watercooling MSI MAG CORELIQUID M360 / ARGB,electronics,306 039 DT,329 008 DT,329 000 DT,436 550 DT,436 550 DT,42.645330284307775
90,Pc Portable Gamer ASUS ROG Strix G16 (2024) G614JVR / i9-14900HX / RTX 4060 8G / 32 Go DDR5 / 1 To SSD / Windows 11 / Noir Avec Sac Gamer ASUS Offert,electronics,6 379 508 DT,7 499 007 DT,7 499 004 DT,5 957 800 DT,5 957 800 DT,-6.610349803507885
91,"TV MAXWELL 32"" LED FULL HD  AVEC RÉCEPTEUR INTÉGRÉ",electronics,330 540 DT,429 005 DT,429 000 DT,523 470 DT,523 470 DT,58.36813446893777
92,"TELEEVISEUR TELEFUNKEN 32"" LED HD GOOGLE TV NOIR + RECEP INTEGRE",electronics,504 529 DT,575 004 DT,575 009 DT,640 210 DT,640 210 DT,26.892719946175497
